formula,material_id,functional,band_gap,gap_AO,max_metallic_valence,HOMO_energy,range_metallic_valence,avg_metallic_valence,max_Density_(g/mL),range_Number_of_unfilled_d_valence_electrons,avg_Density_(g/mL),dev_Mulliken_EN,max_Mulliken_EN,frac p valence electrons,avg_outer_shell_electrons,max_number_of_valence_electrons,max_families,mode_heat_atomization(kJ/mol),avg p valence electrons,frac d valence electrons,avg_number_of_valence_electrons,LUMO_energy,dev_Pauling_Electronegativity,avg_heat_atomization(kJ/mol),avg_Number_of_unfilled_d_valence_electrons,mode_Mendeleev_Number,max_gilmor_number_of_valence_electron,max_l_quantum_number,max_1st_ionization_potential_(kJ/mol),avg_heat_of_vaporization_(kJ/mol)_,max ionic char,min_specific_heat_(J/g_K)_,avg_l_quantum_number,avg_Mulliken_EN,range_1st_ionization_potential_(kJ/mol),dev_gilmor_number_of_valence_electron,max_heat_of_vaporization_(kJ/mol)_,range_number_of_valence_electrons,range_valence_p,avg_Nonmetal,mode_outer_shell_electrons,range_families,avg_Melting_point_(K),range_gilmor_number_of_valence_electron,range_l_quantum_number,dev_Mendeleev_Number,range_MB_electonegativity,mode_Pauling_Electronegativity,avg_Metal,max_Atomic_Number,range_group,dev_Period,dev_Cohesive_energy,dev_Boiling_Point_(K),dev_Atomic_Number,frac s valence electrons,mode_metallic_valence,mode_number_of_valence_electrons,mode_crystal_radius,dev_group,avg_crystal_radius,dev_Nonmetal,mode_Miracle_Radius_[pm],max_Melting_point_(K),avg_families,range_Period,min_Allred-Rockow_electronegativity,min_number_of_valence_electrons,max_thermal_conductivity_(W/(m_K))_,dev_number_of_valence_electrons,range_Gordy_electonegativity,avg_Atomic_Weight,dev_Metal,band center,avg_Miracle_Radius_[pm],avg_Gordy_electonegativity,dev_polarizability(A^3),min_Cohesive_energy,avg_MB_electonegativity,min_gilmor_number_of_valence_electron,range_outer_shell_electrons,min_Boiling_Point_(K),mode_group,min_Density_(g/mL),min_Mulliken_EN,min_Miracle_Radius_[pm],avg_valence_s,dev_l_quantum_number,max_group,dev_ionic_radius,range_Atomic_Radius,min_MB_electonegativity,min_l_quantum_number,avg_gilmor_number_of_valence_electron,dev_Number_of_unfilled_s_valence_electrons,min_crystal_radius,max_crystal_radius,range_ionic_radius,mode_Density_(g/mL),mode_heat_of_vaporization_(kJ/mol)_,min_1st_ionization_potential_(kJ/mol),max_ionic_radius,min_outer_shell_electrons,mode_thermal_conductivity_(W/(m_K))_,mode_Number_of_unfilled_f_valence_electrons,min_Number_of_unfilled_f_valence_electrons,mode_l_quantum_number,max_Nonmetal,avg_specific_heat_(J/g_K)_,min_thermal_conductivity_(W/(m_K))_,max_specific_heat_(J/g_K)_,mode_Atomic_Radius,avg_Mendeleev_Number,avg_heat_of_fusion_(kJ/mol)_,min_heat_of_fusion_(kJ/mol)_,max_Miracle_Radius_[pm],dev_Number_of_unfilled_p_valence_electrons,dev_Atomic_Radius,avg_Zunger_radii_sum,min_Gordy_electonegativity,dev_crystal_radius,min_Atomic_Weight,min_Metal,mode_Number_of_unfilled_s_valence_electrons,min_Nonmetal,dev_Miracle_Radius_[pm],avg_group,range_Metal,min_ionic_radius,avg_Covalent_Radius,range_Nonmetal,max_Number_of_unfilled_p_valence_electrons,min_valence_d,dev_heat_of_fusion_(kJ/mol)_,range_crystal_radius,dev_Metalliod,range_Zunger_radii_sum,range_Miracle_Radius_[pm],mode_Number_of_unfilled_d_valence_electrons,dev_outer_shell_electrons,a_site_radius,b_site_radius,x_site_radius,Tolerance_factor,Octahedral_factor,spacegroup_num,crystal_system_int,n_symmetry_ops,density,vpa,packing fraction,max packing efficiency,GII
AcFeO3,mp-861502,GGA+U Static,1.0084,0.0,5.78,-0.295049,5.78,1.1560000000000001,7.86,10.0,1.572858,2.6448,7.54,0.41379310344827586,3.9999999999999996,8.0,7.0,249.0,2.4,0.24137931034482757,5.199999999999999,-0.295049,1.212,233.0,6.8,87.0,6.0,2.0,1314.0,71.96594,0.7456133690005962,0.0,1.0,5.336,1314.0,1.8400000000000003,349.6,8.0,4.0,0.6,6.0,7.0,394.4800000000001,6.0,2.0,28.560000000000002,3.32,3.44,0.2,26.0,16.0,0.8,0.9712000000000002,945.7720000000002,6.4,0.3448275862068966,0.0,6.0,1.21,5.76,0.864,0.48,64.0,1808.15,5.0,4.0,0.0,0.0,80.2,2.0800000000000005,8.3703,20.76904,0.32000000000000006,6.0111006478928735,63.4,5.705979999999999,2.49768,0.0,2.3259999999999996,0.0,6.0,0.0,16.0,0.0,0.0,0.0,1.6,0.4,16.0,0.304,1.56,0.0,0.0,4.6,0.0,0.0,1.21,1.4,0.00143,3.4099,0.0,1.4,0.0,0.02674,14.0,0.0,1.0,1.0,0.64,0.0,0.92,0.48,63.199999999999996,2.8935540000000004,0.0,125.0,1.4400000000000004,0.3840000000000001,0.7010000000000001,0.0,0.4152,0.0,0.0,0.0,0.0,25.36,11.2,1.0,0.0,0.688,1.0,6.0,0.0,4.3625784,1.21,0.0,2.11,125.0,10.0,2.4,1.12,0.78,1.35,0.8199782861646819,0.5777777777777777,221,1,48,8.88999947834004,12.359462126517345,0.7325194523996081,0.44691678063806867,0.20787731240375235
ScVO3,mp-756546,GGA+U Static,1.5053,0.0,5.0,-0.204634,5.0,1.6,6.11,3.0,1.8208580000000003,1.9536000000000002,7.54,0.4615384615384615,4.3999999999999995,6.0,7.0,249.0,2.4,0.15384615384615385,5.199999999999999,-0.204634,0.9336,327.80000000000007,9.2,87.0,6.0,2.0,1314.0,155.48594,0.6609473927455578,0.49,1.4,5.912,681.0,1.9200000000000002,453.0,3.0,4.0,0.6,6.0,4.0,828.3100000000001,5.0,1.0,28.080000000000002,1.8199999999999998,3.44,0.4,23.0,13.0,0.96,0.9527999999999999,1578.7199999999998,6.720000000000001,0.3846153846153846,0.0,6.0,1.21,5.76,1.04,0.48,64.0,2163.15,5.6000000000000005,2.0,1.19,3.0,30.7,0.9600000000000002,5.2975,28.779122,0.48,5.548569232293839,97.6,6.27716,6.86736,2.62,2.7359999999999998,1.0,4.0,90.15,16.0,0.00143,3.34,64.0,2.0,0.48,16.0,0.42000000000000004,1.36,1.5,1.0,4.3999999999999995,0.0,0.68,1.21,1.0,0.00143,3.4099,633.0,1.6,2.0,0.02674,14.0,14.0,1.0,1.0,0.77,0.02674,0.92,0.48,63.599999999999994,7.133554,0.22259,162.0,1.9200000000000002,0.6216,1.315,3.0728,0.20399999999999996,15.9994,0.0,0.0,0.0,40.32,11.2,1.0,0.6,0.976,1.0,6.0,0.0,8.293156799999998,0.5299999999999999,0.0,2.285,98.0,10.0,1.9200000000000002,0.87,0.64,1.4,0.7868296045556189,0.4571428571428572,62,5,8,4.429499299666154,10.78877179595276,0.5594263369798707,0.3985605760551106,0.2648011306972599
KNbO3,mp-935811,GGA Static,1.4215999999999998,0.19410899999999998,5.0,-0.338381,5.0,1.2,8.57,4.0,1.8868580000000001,2.0784000000000002,7.54,0.5,3.9999999999999996,6.0,7.0,249.0,2.4,0.16666666666666669,4.8,-0.144272,1.0704,312.6,9.2,87.0,6.0,2.0,1314.0,154.41994,0.8202341305415322,0.26,1.0,5.808,895.0,1.9200000000000002,682.0,5.0,4.0,0.6,6.0,6.0,648.36,5.0,2.0,29.76,2.5199999999999996,3.44,0.4,41.0,15.0,1.2000000000000002,1.7188800000000002,1500.56,10.559999999999999,0.33333333333333337,0.0,6.0,1.21,6.24,1.186,0.48,64.0,2741.15,5.2,3.0,0.734,1.0,102.4,1.52,5.5821000000000005,36.000576,0.48,5.245271479139713,113.0,6.280279999999999,13.80336,0.934,2.558,1.0,5.0,90.15,16.0,0.00143,2.42,64.0,1.6,0.4,16.0,0.5880000000000001,1.9500000000000002,0.8,0.0,4.3999999999999995,0.48,0.78,1.52,1.6,0.00143,3.4099,419.0,2.2,1.0,0.02674,14.0,14.0,1.0,1.0,0.754,0.02674,0.92,0.48,62.199999999999996,5.8803540000000005,0.22259,230.0,1.9200000000000002,0.8280000000000001,1.569,2.7882,0.16240000000000004,15.9994,0.0,0.0,0.0,58.8,10.799999999999999,1.0,0.6,1.104,1.0,6.0,0.0,8.2078584,0.74,0.0,3.225,166.0,10.0,2.4000000000000004,1.64,0.64,1.35,1.0624368219838074,0.47407407407407404,221,1,48,4.569594302517074,13.08220358176979,0.9186009729288332,0.44691951022241455,0.3922315611051184
BaInO3,mp-1183288,GGA Static,0.0,0.0,3.44,-0.338381,3.44,1.088,7.31,10.0,2.162858,2.2992,7.54,0.393939393939394,4.3999999999999995,6.0,7.0,249.0,2.6,0.30303030303030304,4.6,-0.338381,1.0103999999999997,234.0,8.0,87.0,6.0,1.0,1314.0,76.74594,0.8032113561415081,0.204,0.8,5.6240000000000006,811.0,1.6800000000000002,231.5,4.0,4.0,0.6,6.0,5.0,318.43,4.0,1.0,24.0,2.2399999999999998,3.44,0.4,56.0,14.0,1.6800000000000002,0.2224000000000001,980.6400000000001,21.36,0.30303030303030304,0.0,6.0,1.21,4.24,1.212,0.48,64.0,998.15,5.6,4.0,0.881,2.0,81.6,1.6800000000000002,4.1366000000000005,60.02864,0.48,5.112845970429414,114.0,6.7629,11.737680000000001,1.9,2.534,2.0,4.0,90.15,16.0,0.00143,2.4,64.0,2.0,0.31999999999999995,16.0,0.6,2.05,1.08,0.0,4.6,0.0,0.94,1.49,1.5499999999999998,0.00143,3.4099,503.0,2.15,2.0,0.02674,14.0,14.0,1.0,1.0,0.6388,0.02674,0.92,0.48,69.0,2.3361540000000005,0.22259,223.0,1.6800000000000002,0.7512,1.3694000000000002,4.2337,0.11120000000000002,15.9994,0.0,0.0,0.0,60.0,12.6,1.0,0.6,1.1219999999999999,1.0,6.0,0.0,2.5362768000000004,0.55,0.0,2.9370000000000003,159.0,10.0,1.9200000000000002,1.61,0.8,1.4,0.9674506415325034,0.5714285714285715,221,1,8,6.331161982079215,15.744329754361772,0.7614504518547458,0.44691951022241466,0.0
KAgF3,mp-13819,GGA Static,0.0,0.0,5.44,-0.298706,5.44,1.288,10.5,10.0,2.2730200000000003,3.3504000000000005,10.41,0.4545454545454546,4.6000000000000005,11.0,8.0,79.0,3.0,0.30303030303030304,6.6000000000000005,-0.298706,1.2504,122.20000000000002,8.0,93.0,7.0,1.0,1681.0,68.05188,0.9176189628313963,0.235,0.6,7.617999999999999,1262.0,2.6399999999999997,250.58,10.0,5.0,0.6,7.0,7.0,346.32000000000005,6.0,1.0,28.320000000000004,2.9799999999999995,3.98,0.4,47.0,16.0,1.2000000000000002,0.6676800000000002,803.5680000000001,11.52,0.24242424242424246,0.0,7.0,1.19,5.279999999999999,1.276,0.48,64.0,1235.15,5.8,3.0,0.734,1.0,429.0,2.2399999999999998,7.2972,40.7923418,0.48,6.558082147771789,101.80000000000001,7.37932,13.103839999999998,0.84,2.642,1.0,6.0,85.05,17.0,0.0017,2.42,64.0,1.6,0.48,17.0,0.6720000000000002,2.0100000000000002,0.8,0.0,4.800000000000001,0.48,1.19,1.52,1.7000000000000002,0.0017,3.2698,419.0,2.2,1.0,0.0279,14.0,14.0,1.0,1.0,0.689,0.0279,0.82,0.42,69.39999999999999,2.8799200000000003,0.2552,179.0,2.4000000000000004,0.7776000000000001,1.456,2.7882,0.10320000000000004,18.998403,0.0,0.0,0.0,43.68000000000001,12.6,1.0,0.5,1.124,1.0,6.0,0.0,3.3680320000000004,0.33000000000000007,0.0,3.285,115.0,10.0,2.88,1.64,0.94,1.33,0.9251573304511216,0.706766917293233,221,1,48,4.22052062483415,16.04950751154424,0.789187070825851,0.4469195102224146,0.17415358487445864
AlFeO3,mp-1254277,GGA+U Static,1.3295000000000003,0.0,5.78,-0.295049,5.78,1.7560000000000002,7.86,6.0,2.112858,1.8696000000000002,7.54,0.4482758620689655,4.6,8.0,7.0,249.0,2.6,0.20689655172413793,5.8,-0.295049,0.8255999999999999,298.20000000000005,8.8,87.0,6.0,2.0,1314.0,130.64594,0.5670898161093587,0.44,1.2000000000000002,5.982,736.0,0.9600000000000002,349.6,5.0,4.0,0.6,6.0,3.0,581.11,3.0,1.0,11.040000000000001,1.68,3.44,0.4,26.0,8.0,0.72,0.5832000000000002,1339.92,5.52,0.3448275862068966,0.0,6.0,1.21,2.6399999999999997,0.97,0.48,64.0,1808.15,6.0,2.0,1.613,3.0,237.0,1.12,4.9513,26.1653478,0.48,5.609564927023149,91.6,6.4107199999999995,3.6273600000000004,2.62,2.654,3.0,4.0,90.15,16.0,0.00143,3.23,64.0,2.0,0.3200000000000001,16.0,0.348,1.08,1.64,1.0,5.199999999999999,0.0,0.53,1.21,0.7999999999999999,0.00143,3.4099,578.0,1.4,2.0,0.02674,14.0,14.0,1.0,1.0,0.8200000000000001,0.02674,0.92,0.48,77.8,5.051554,0.22259,141.0,1.6800000000000002,0.4272,1.036,3.419,0.28800000000000003,15.9994,0.0,0.0,0.0,33.12,13.8,1.0,0.6,0.9239999999999999,1.0,6.0,0.0,5.7947568,0.6799999999999999,0.0,1.6449999999999998,77.0,10.0,1.6800000000000002,0.39,0.78,1.36,0.5782415266712421,0.5735294117647058,62,5,8,4.843594842378576,8.970180070629734,0.4992008425040915,0.3724686477642097,0.32765164784184625
RbAuO3,mp-975405,GGA Static,0.0,0.0,5.44,-0.304738,5.44,1.288,19.3,10.0,4.166858,1.6728,7.54,0.2727272727272727,3.9999999999999996,11.0,7.0,249.0,2.4,0.22727272727272727,6.0,-0.304738,0.8448,239.8,8.0,87.0,6.0,2.0,1314.0,83.36914,0.8202341305415322,0.128,1.0,6.146,911.0,2.16,334.4,10.0,4.0,0.6,6.0,6.0,362.69000000000005,5.0,2.0,24.96,2.5199999999999996,3.44,0.4,79.0,15.0,1.6800000000000002,0.6609600000000002,991.6800000000001,24.0,0.18181818181818182,0.0,6.0,1.21,4.800000000000001,1.36,0.48,64.0,1337.15,5.2,4.0,0.706,1.0,317.0,2.0,5.1817,66.086508,0.48,5.651282569562132,115.80000000000001,7.25572,14.45768,0.852,2.3899999999999997,1.0,5.0,90.15,16.0,0.00143,2.34,64.0,1.6,0.4,16.0,0.6000000000000001,2.17,0.8,0.0,4.199999999999999,0.48,1.21,1.66,1.75,0.00143,3.4099,403.0,2.35,1.0,0.02674,14.0,0.0,1.0,1.0,0.6502,0.02674,0.92,0.48,66.2,3.0819540000000005,0.22259,244.0,1.9200000000000002,0.8231999999999999,1.6309999999999998,3.1886,0.18000000000000005,15.9994,0.0,0.0,0.0,62.160000000000004,12.0,1.0,0.6,1.148,1.0,6.0,0.0,3.7872184000000004,0.44999999999999996,0.0,3.635,180.0,10.0,2.4000000000000004,1.72,0.85,1.4,0.9805214032453459,0.6071428571428572,221,1,48,7.315133873715564,15.001671874787032,0.8983255598996581,0.44691951022241466,0.0
NdTiO3,mp-3119,GGA Static,0.0,0.0,4.0,-0.179508,4.0,1.4200000000000002,7.0,2.0,2.3088580000000003,2.0472,7.54,0.4285714285714286,4.3999999999999995,6.0,7.0,249.0,2.4,0.07142857142857144,5.0,-0.179508,1.008,309.0,9.6,87.0,6.0,3.0,1314.0,140.84594,0.7335317021864758,0.19,1.6,5.834,781.0,1.6800000000000002,421.0,3.0,4.0,0.6,6.0,4.0,677.3100000000001,4.0,2.0,26.880000000000003,2.12,3.44,0.4,60.0,13.0,1.44,0.7223999999999998,1627.2,15.84,0.35714285714285715,0.0,6.0,1.21,6.0,1.1360000000000001,0.48,64.0,1933.15,5.6000000000000005,4.0,1.09,3.0,21.9,1.2000000000000002,5.234400000000001,48.02364000000001,0.48,5.371903492076488,103.19999999999999,6.5924,10.65936,2.62,2.604,2.0,4.0,90.15,16.0,0.00143,3.1,64.0,2.0,0.72,16.0,0.492,1.58,1.2,1.0,4.6,0.0,0.75,1.3,1.25,0.00143,3.4099,533.0,1.85,2.0,0.02674,14.0,10.0,1.0,1.0,0.6940000000000001,0.02674,0.92,0.48,64.6,4.651554,0.22259,182.0,1.9200000000000002,0.6864,1.593,3.1359,0.15439999999999993,15.9994,0.0,0.0,0.0,47.04,11.0,1.0,0.6,1.078,1.0,6.0,0.0,5.3147568,0.55,0.0,3.5250000000000004,118.0,10.0,1.9200000000000002,1.29,0.605,1.4,0.9486869034373131,0.43214285714285716,62,5,8,6.429526156492806,12.402387878190888,0.6568126324550547,0.40208249388450074,0.46826596059841047
HoGaO3,mp-769045,GGA Static,2.8722,0.0,3.44,-0.272677,3.44,1.2880000000000003,8.8,0.0,2.9408580000000004,2.1071999999999997,7.54,0.2954545454545454,4.6,6.0,7.0,249.0,2.6,0.22727272727272727,4.8,-0.272677,0.9216,266.8,10.0,87.0,6.0,3.0,1314.0,101.98594,0.7050722889619607,0.16,1.4,5.784000000000001,735.0,1.44,258.7,3.0,4.0,0.6,6.0,4.0,442.8700000000001,3.0,2.0,16.240000000000002,2.12,3.44,0.4,67.0,13.0,1.44,0.17040000000000005,1312.56,19.68,0.22727272727272727,0.0,6.0,1.21,3.9199999999999995,1.086,0.48,64.0,1747.15,5.800000000000001,4.0,1.09,3.0,40.6,1.44,4.2031,56.530304,0.48,5.357674376952439,100.6,6.95848,7.22736,2.62,2.572,3.0,4.0,90.15,16.0,0.00143,3.1,64.0,2.0,0.6399999999999999,16.0,0.44400000000000006,1.7799999999999998,1.2,1.0,4.8,0.0,0.76,1.21,1.15,0.00143,3.4099,579.0,1.75,2.0,0.02674,14.0,3.0,1.0,1.0,0.658,0.02674,0.92,0.48,73.6,3.691554,0.22259,177.0,1.6800000000000002,0.6384,1.3479999999999999,4.1672,0.14879999999999996,15.9994,0.0,0.0,0.0,43.92,12.8,1.0,0.6,1.006,1.0,6.0,0.0,4.1627568,0.44999999999999996,0.0,3.185,113.0,10.0,1.6800000000000002,0.901,0.55,1.38,0.8357049574541526,0.3985507246376812,185,2,24,7.728073092409365,12.146724965907204,0.5658546765955796,0.34378053475275194,0.3146039972895205
YVO3,mp-1402500,GGA+U Static,0.0,0.0,5.0,-0.204634,5.0,1.6,6.11,3.0,2.116858,1.9896,7.54,0.4615384615384615,4.3999999999999995,6.0,7.0,249.0,2.4,0.15384615384615385,5.199999999999999,-0.204634,0.9672,336.80000000000007,9.2,87.0,6.0,2.0,1314.0,165.24594000000002,0.7083205926780534,0.3,1.4,5.882,714.0,1.9200000000000002,453.0,3.0,4.0,0.6,6.0,4.0,824.7100000000002,5.0,1.0,27.84,1.91,3.44,0.4,39.0,13.0,1.2000000000000002,1.0655999999999999,1699.92,11.04,0.3846153846153846,0.0,6.0,1.21,5.76,1.07,0.48,64.0,2163.15,5.6000000000000005,3.0,1.12,3.0,30.7,0.9600000000000002,5.168200000000001,37.56911,0.48,5.511262220290687,101.0,6.34346,8.04336,2.62,2.718,1.0,4.0,90.15,16.0,0.00143,3.19,64.0,2.0,0.48,16.0,0.48000000000000004,1.6400000000000001,1.41,1.0,4.3999999999999995,0.0,0.68,1.21,1.25,0.00143,3.4099,600.0,1.85,2.0,0.02674,14.0,14.0,1.0,1.0,0.7100000000000001,0.02674,0.92,0.48,63.8,6.593554,0.22259,179.0,1.9200000000000002,0.6888000000000001,1.3530000000000002,3.2021,0.16799999999999995,15.9994,0.0,0.0,0.0,44.400000000000006,11.2,1.0,0.6,1.012,1.0,6.0,0.0,7.6451568,0.5299999999999999,0.0,2.475,115.0,10.0,1.9200000000000002,0.9,0.64,1.38,0.7981205252996674,0.46376811594202905,194,2,24,4.70064787944637,13.271569481375531,0.5643545818702328,0.3596014230187257,0.40214192323836284
